,CXSMILES,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro)
172,O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC=C(F)C(F)=C1,Train,3.88,5.16
173,CC(F)(F)[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:4|,Train,3.95,4.91
174,O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC(F)=CC(F)=C1,Train,4.16,5.53
175,O=C(CC1=CC(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,Train,4.58,5.69
176,O=C(CC1=C(F)C(F)=CC=C1)NC1=CN=CC2=CC=CC=C12,Train,4.95,4.66
177,O=C(CC1=CC=CC=C1F)NC1=CN=CC2=CC=CC=C12,Train,1.3,4.44
178,CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:2|,Train,3.95,5.03
179,CC1=CC(F)=CC=C1C(F)(F)C(=O)NC1=CN=CC2=CC=CC=C12,Train,2.43,4.56
180,"C[C@H]1COC2=CC=CC=C2[C@H]1C(=O)NC1=CN=CC2=CC=CC=C12 |&1:1,&2:10|",Train,4.77,4.71
181,CC1=CC=C(F)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,Train,4.44,5.73
182,O=C(CC1=CC(F)=CC=C1Cl)NC1=CN=CC2=CC=CC=C12,Train,4.54,5.56
183,CC1=CC2=C(C=C1C)[C@H](C(=O)NC1=CN=CC3=CC=CC=C13)CO2 |&1:8|,Train,5.29,5.34
184,O=C(NC1=CN=CC2=CC=CC=C12)[C@H](CC(F)(F)F)C1=CC(F)=CC=C1 |&1:13|,Train,4.1,5.2
185,C[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1 |&1:1|,Train,4.62,5.94
186,CC1=CC=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1F,Train,4.27,4.2
187,O=C(CC1=C(F)C(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,Train,1.0,4.51
188,O=C(CC1=CC=C(F)C(F)=C1F)NC1=CN=CC2=CC=CC=C12,Train,5.34,4.8
189,O=C(CC1=C(F)C=CC=C1F)NC1=CN=CC2=CC=CC=C12,Train,4.35,
190,CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(F)=C(F)C(F)=C1 |&1:2|,Train,4.53,6.11
191,CC1=CC=C([C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2CC2)C=C1 |&1:5|,Train,4.31,4.73
192,O=C(CC1=CC(F)=CC(F)=C1F)NC1=CN=CC2=CC=CC=C12,Train,5.63,5.82
193,O=C(NC1=CN=CC2=CC=CC=C12)[C@H]1COC2=CC=C(F)C=C21 |&1:13|,Train,4.6,5.46
194,O=C(CC1=CC=C(F)C=C1F)NC1=CN=CC2=CC=CC=C12,Train,5.0,4.6
195,O=C(CC1=CC(Cl)=CC=C1F)NC1=CN=CC2=CC=CC=C12,Train,4.81,5.97
196,O=C(CC1=CC(F)=CC(F)=C1)NC1=CN=CC2=CC=CC=C12,Train,4.88,6.19
197,O=C1N[C@]2(CCOC3=CC=CC=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,Train,4.63,4.82
198,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=C(F)C=C2C1=O,Train,5.35,6.28
199,O=C1N[C@]2(CCOC3=CC=C(CO)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,Train,4.52,4.87
200,"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",Train,4.15,5.27
201,CCCCNC(=O)C1=CN=C([C@H](NC(=O)CCl)C2=CC=CC=C2)S1 |&1:11|,Train,4.73,4.72
202,COC1=CC=C(CNC2=CN=C([C@H](NC(=O)CCl)C3=CC=CC=C3)S2)C(OC)=C1 |&1:12|,Train,4.11,4.33
203,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC=C3C3CC3)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,Train,5.08,6.33
204,CN1N=CC(C2CCC2)=C1CNC(=O)C1=CN=CC2=CC=CC=C12,Train,4.16,4.25
205,O=C(NCCC1=CNC2=NC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,Train,3.85,4.42
206,O=C(NCCC1=CNC2=CC(F)=CC=C12)C1=CN=CC2=CC=CC=C12,Train,4.05,
207,CC(C)(NC(=O)C1=CN=CC2=CC=CC=C12)C1=CC=CC(C#N)=C1,Train,4.3,4.23
208,C[C@H](NC(=O)C1=CN=CC2=CC=CC=C12)C1=NC2=CC=CC=C2N1C |&1:1|,Train,3.84,4.06
209,O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC(F)=C1 |&1:15|,Train,4.29,
210,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=CC(F)=C2C1=O,Train,5.25,5.89
211,CC1=NC=C(CNC(=O)C2=CN=CC3=CC=CC=C23)N1C1=CC=CC=C1,Train,4.1,
212,CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H]1C2=CC=CC=C2C[C@H]1O,Train,4.19,
213,O=C(NCCC(=O)N1CCCCC1)C1=CN=CC2=CC=CC=C12,Train,4.26,4.09
214,O=C(NCC1=CC=CC=C1N1C=CN=C1)C1=CN=CC2=CC=CC=C12,Train,4.24,
215,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CN=CC=C2C1=O,Train,4.45,5.59
216,O=C(NCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,Train,3.42,4.72
217,CC1=CC=CC2=C1C=C(CNC(=O)C1=CN=CC3=CC=CC=C13)N2,Train,3.66,4.87
218,CN1C2=CC=CC=C2N(CCNC(=O)C2=CN=CC3=CC=CC=C23)S1(=O)=O,Train,4.3,4.15
219,O=C(NCC1=CC2=C(CCCC2)N=C1O)C1=CN=CC2=CC=CC=C12,Train,4.32,4.46
220,CN(C(=O)C1=CC=CN=C1)[C@H]1C2=CC=CC=C2C[C@H]1O,Train,5.23,
221,CN(CC(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)C1=CC=CN=C1,Train,4.3,
222,O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(F)=C1 |&1:17|,Train,4.38,
223,CC1=NN(C2=CC=C(Cl)C=C2)C(NC(=O)C2=CN=CC3=CC=CC=C23)=C1C,Train,7.88,
224,CC1=C(CCNC(=O)C2=CN=CC3=CC=CC=C23)C2=CC(O)=CC=C2N1,Train,4.23,
225,O=C(NCCN1C(=O)CC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12,Train,4.21,
226,O=C(NCC1=NC2=CC(Cl)=CC=C2S1)C1=CN=CC2=CC=CC=C12,Train,4.96,4.04
227,NC(=O)C1(NC(=O)C2=CN=CC3=CC=CC=C23)CC2=CC=CC=C2C1,Train,4.25,
228,O=C(NCCC1=CNC2=CC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12,Train,4.08,4.91
229,CC1=CN=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,Train,4.36,
230,O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1,Train,4.39,
231,CN1C(CNC(=O)C2=CN=CC3=CC=CC=C23)=NC2=CC=CC=C21,Train,3.58,4.07
232,O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)C1=CN=CC2=CC=CC=C12,Train,3.76,
233,CN(CC1=CC=CC(O)=C1)C(=O)C1=CN=CC2=CC=CC=C12,Train,6.25,
234,CN(CC1=NN(C2=CC=CC=C2)N=C1)C(=O)C1=CN=CC2=CC=CC=C12,Train,7.33,
235,O=C(NCC1=CC=CC=C1N1C=CC=N1)C1=CN=CC2=CC=CC=C12,Train,4.29,
236,CN(CC1=CC=C2C=CNC2=C1)C(=O)C1=CN=CC2=CC=CC=C12,Train,4.19,
237,O=C(C1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1,Train,4.27,
238,COC1=CC=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,Train,4.52,4.24
239,CN1CCN(C(=O)CCCNC(=O)C2=CN=CC3=CC=CC=C23)CC1,Train,4.37,
240,O=C(NCCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,Train,4.26,
241,O=C(C1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=C(F)C=C2)CC1,Train,4.23,5.1
242,COC1=CC=C2OCC[C@@H](NC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,Train,3.9,
243,CC1=CC=C([C@H](CO)NC(=O)C2=CN=CC3=CC=CC=C23)C=C1 |&1:5|,Train,4.47,
244,CN1N=C(CNC(=O)C2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O,Train,3.61,
245,CC1=NC=C2CC[C@H](NC(=O)C3=CN=CC4=CC=CC=C34)CN21 |&1:7|,Train,4.15,
246,O=C(NCCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,Train,3.82,4.82
247,O=C(NCCN1CCC2=CC=CC=C2C1=O)C1=CN=CC2=CC=CC=C12,Train,4.17,
248,O=C(NC1CN(C2=CC=NC=C2)C1)C1=CN=CC2=CC=CC=C12,Train,4.33,
249,O=C(N[C@H]1C2=CC=CC=C2C[C@@H]1O)C1=CN=CC2=CC=CC=C12,Train,4.35,
250,O=C(NCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,Train,4.17,
251,O=C(NCC1=CC=NN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,Train,4.21,
252,O=C(NCCC1=CNC2=NC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12,Train,4.06,4.32
253,C[C@@H](NC(=O)C1=CN=CC2=CC=CC=C12)C1=CSC2=CC=CC=C12,Train,4.48,
254,O=C(NCC1=CSC2=CC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12,Train,4.12,
255,O=C(NCC(=O)N1CCCC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12,Train,4.24,
256,O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC=C1,Train,4.33,
257,O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC=C1F |&1:15|,Train,4.21,
258,N#CC1=CC=CC=C1CNC(=O)C1=CN=CC2=CC=CC=C12,Train,4.0,
259,O=C(NCC(=O)N1CCCC1)C1=CN=CC2=CC=CC=C12,Train,5.13,
260,CN(CC1=NC2=CC=CC=C2N1C)C(=O)C1=CN=CC2=CC=CC=C12,Train,4.31,
261,CN1C(CNC(=O)C2=CN=CC3=CC=CC=C23)=NC2=CC(F)=CC=C21,Train,4.5,
262,COC1=CC=C(O)C([C@H](C)NC(=O)C2=CN=CC3=CC=CC=C23)=C1 |&1:8|,Train,4.3,
263,O=C(NCCOC1=CC(Cl)=CC=N1)C1=CN=CC2=CC=CC=C12,Train,3.65,4.8
264,"O=C(N[C@@H]1C[C@H](O)C2=CC=CC=C21)C1=CN=CC2=CC=CC=C12 |&1:3,5|",Train,4.5,
265,O=C(NCC1=CC(=O)NC2=CC=CC=C12)C1=CN=CC2=CC=CC=C12,Train,4.15,
266,CN(CC1=CC=CC(C#N)=C1)C(=O)C1=CN=CC2=CC=CC=C12,Train,4.18,
267,O=C(NCCC1=CNC2=CN=CC=C12)C1=CN=CC2=CC=CC=C12,Train,3.92,
268,O=C(NCC1=NC2=CC=CC=C2N1)C1=CN=CC2=CC=CC=C12,Train,4.52,4.23
269,CC1=CC=C(F)C(CN(C)C(=O)C2=CN=CC3=CC=CC=C23)=C1,Train,4.21,
270,C[C@H](C1=CC=C(F)C=C1)N(C)C(=O)C1=CN=CC2=CC=CC=C12,Train,4.18,
271,O=C1C(C2=CC=CC(Cl)=C2)=CN=CN1C1=CN=CC2=CC=CC=C12,Train,4.76,5.78
272,O=C(C1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=CC=CC(Cl)=C1 |&1:17|,Train,4.2,
273,CC1=CC([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=CC=N1 |&1:4|,Train,4.16,
274,CC1=CC=C(Cl)C([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=C1 |&1:7|,Train,9.0,
275,"CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H]1CC2=CC=CC=C2[C@H]1O |&1:14,22|",Train,4.21,
276,CC1=CC=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=N1,Train,4.25,
277,CN(CCC1=CC=NC=C1)C(=O)C1=CN=CC2=CC=CC=C12,Train,4.37,
278,COC1=CC=C(Cl)C=C1[C@H]1CCCCN1C(=O)C1=CN=CC2=CC=CC=C12 |&1:9|,Train,4.31,
279,CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H](C1=CC=CC(Cl)=C1)C1=CC=CC=N1 |&1:14|,Train,3.84,
280,CC1=NC=C(C2=CC=CC(Cl)=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,Train,4.91,4.8
281,O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=N1 |&1:17|,Train,4.29,
282,O=C(N[C@H]1CCCN(C(=O)C2=CN=CC3=CC=CC=C23)C1)C1=CC=C(Cl)C=C1 |&1:3|,Train,4.22,
283,CCC1=CC=C2C(=C1)[C@H](NC(=O)C1=CN=CC3=CC=CC=C13)C(=O)N2C |&1:8|,Train,4.28,
284,O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(Cl)=C1 |&1:17|,Train,4.37,
285,"CC1=CC=CC=C1[C@H]1[C@H](O)CCN1C(=O)C1=CN=CC2=CC=CC=C12 |&1:7,&2:8|",Train,3.7,
286,O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=C(Cl)C=C1 |&1:17|,Train,4.44,
287,CN(CCC1=CC=CC=C1)C(=O)C1=CN=CC2=CC=CC=C12,Train,4.25,
288,CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)CC1=CC=CC=C1)C2)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,Train,4.7,4.2
289,CN(CC1=CN=C2C=CC=CN12)C(=O)C1=CN=CC2=CC=CC=C12,Train,4.94,
290,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCN(C)CC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,Train,3.99,
291,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,Train,4.17,5.83
292,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,Train,4.86,6.41
293,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:3|,Train,4.13,5.17
294,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:3|,Train,5.69,6.65
295,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,Train,5.05,6.9
296,"CNC(=O)CN1C[C@]2(C[C@H](COC)N(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,9|",Train,4.28,4.27
297,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(F)=CC=C2C1=O |o1:3|,Train,4.52,5.02
298,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(F)=CC=C2C1=O |o1:3|,Train,5.42,6.34
299,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCNCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,Train,4.25,6.92
300,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O |o1:3|,Train,4.5,5.22
301,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|,Train,4.68,4.88
302,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=C(Cl)C=CC=C1Cl |&1:17|,Train,4.73,4.38
303,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O |o1:3|,Train,4.27,
304,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@]12CN1N=NC=C1C1=CC=C(Cl)C=C12,Train,4.38,4.11
305,N#CC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,Train,5.69,4.89
306,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O |o1:3|,Train,4.32,4.75
307,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O |o1:3|,Train,4.95,5.44
308,CN1C[C@]2(CCCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,Train,4.79,5.98
309,CN1C[C@]2(CCCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,Train,4.12,
310,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN1N=NC=C1C1=CC=C(Cl)C=C12,Train,5.16,6.18
311,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2OCC12CC2,Train,4.68,4.45
312,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C21,Train,4.74,4.68
313,CN(C(=O)CC1=CN=CC2=CC=CC=C12)[C@H](C1=CC=C(Cl)C=C1)C1CC1 |&1:15|,Train,4.4,4.8
314,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]21 |&1:16,21|",Train,3.96,4.5
315,CC1=CC=C(F)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1F,Train,4.73,4.24
316,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=C(Cl)C=C2CC1,Train,3.9,5.43
317,CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,4.44,5.23
318,CN(CCC1=CC=CC=C1Cl)C(=O)CC1=CN=CC2=CC=CC=C12,Train,3.61,4.56
319,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CS1)C1=CC=CC=C1,Train,5.26,5.0
320,COC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,Train,5.72,5.37
321,"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]2CCC(F)(F)C[C@H]21 |&1:17,24|",Train,4.42,4.46
322,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(F)=C1)C1CC1,Train,4.76,5.52
323,CC1=NN(C)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,4.18,
324,"C[C@H]1[C@H]2CCCC[C@H]2CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:2,&3:7|",Train,4.3,5.02
325,O=C(CC1=CN=CC2=CC=CC=C12)NCC1=CC=CC(Cl)=C1,Train,4.08,5.25
326,"C[C@H]1CC[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)[C@H]2C1 |&1:1,&2:4,&3:22|",Train,4.27,4.92
327,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]2CC1 |&1:16,&2:21|",Train,4.75,5.88
328,CC1=CC=CC(CN(C(=O)CC2=CN=CC3=CC=CC=C23)C2CC2)=C1,Train,4.33,5.04
329,CCCN(CCC1=CC=CS1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,4.75,4.68
330,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC2=CC=CC=C2C1,Train,5.36,5.79
331,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=C(Cl)C=C1 |&1:17|,Train,4.94,4.68
332,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)C1=CC=CC=C1,Train,5.36,5.11
333,CC(C)N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,4.62,5.82
334,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O |o1:3|,Train,5.89,5.55
335,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O |o1:3|,Train,4.31,4.09
336,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)C1CCCCC1,Train,5.05,5.05
337,C[C@H](C1=CC=CC=C1)N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,5.2,5.15
338,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)CC1=CC=C(F)C=C1,Train,5.02,5.0
339,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1O)C1=CC=C(F)C=C1,Train,4.89,4.78
340,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=C(F)C=CC(Cl)=C1F |&1:17|,Train,3.87,5.38
341,CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,Train,5.4,6.31
342,CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,Train,4.28,
343,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C2NC=CC2=C1)CC1=CC=CS1,Train,5.24,4.97
344,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(F)=CC=C2C1=O,Train,5.68,6.96
345,O=C(NC1=CC=CC=C1)OCC1=CC=CC=C1,Train,4.1,
346,N=C(N)NCCC1=CC=CC(B(O)O)=C1,Train,6.61,
347,N=C(N)NC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,Train,4.49,5.68
348,O=C(CC1=CC(F)=C(F)C(F)=C1)NC1=CN=CC2=CC=CC=C12,Train,3.58,6.33
349,N=C(N)NCCC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,Train,4.27,4.8
350,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]2CCCC[C@H]21 |&1:19,&2:24|",Train,4.85,4.03
351,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C#N)=CC=C2C1=O |o1:3|,Train,5.04,6.08
352,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C#N)=CC=C2C1=O |o1:3|,Train,4.15,4.92
353,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=CC=C2C2=CC=CC=C21,Train,3.97,
354,N#CC1(N(C(=O)CC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2)CCCCC1,Train,4.79,4.85
355,CC(C)(C#N)NC(=O)[C@H](CC1=CC=CC(Cl)=C1)C1=CN=CC2=CC=CC=C12 |&1:8|,Train,3.51,4.12
356,O=C1N(C2=CN=CC3=CC=CC=C23)CCC[C@]12CCOC1=CC=C(Cl)C=C12 |o1:16|,Train,4.28,
357,O=C1N(C2=CN=CC3=CC=CC=C23)CCC[C@]12CCOC1=CC=C(Cl)C=C12 |o1:16|,Train,5.12,6.53
358,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=C(F)C=CC=C2C1=O,Train,4.27,4.38
359,COC1=CC=C2C=NC=C(CC(=O)N(CC3=CC=CC(Cl)=C3)C3=CC=C(N(C)C)C=N3)C2=C1,Train,5.69,6.69
360,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O |&1:7|,Train,5.42,6.44
361,COC1=CC2=CN=CC(CC(=O)N(CC3=CC=CC(Cl)=C3)C3=CC=C(N(C)C)C=N3)=C2C=C1OC,Train,4.58,5.84
362,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1 |&1:6|,Train,4.77,7.1
363,N=C(N)NCC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,Train,4.2,5.13
364,CNC(=O)C1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:13|,Train,4.28,
365,CNC(=O)C1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:13|,Train,4.29,4.4
366,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC |&1:6|,Train,5.01,6.72
367,C#CC1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:11|,Train,4.33,4.19
368,C#CC1=CC=C2C(=O)N(C)C[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2=C1 |o1:11|,Train,4.52,5.13
369,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C1=CC=CC=N1,Train,5.55,5.88
370,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCOCC1 |&1:6|,Train,5.59,5.25
371,C[C@H](C1=CC=CC=C1)N(C(=O)CC1=CN=CC2=CC=CC=C12)C1CCN(C)CC1,Train,4.28,4.7
372,CNC(=O)C1=CC(Br)=CC([N+](=O)[O-])=C1N[C@@H]1CCCC[C@@H]1NC(=O)C1=CN=CC2=CC=CC=C12,Train,6.2,8.22
373,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CO)=CC=C2C1=O |o1:3|,Train,3.83,4.34
374,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CO)=CC=C2C1=O |o1:3|,Train,4.23,
375,C[C@H](N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12)C(F)(F)F |&1:1|,Train,4.48,4.33
376,CCN1C=CC(CN(C(=O)CC2=CN=CC3=CC=CC=C23)C2=CC=C(C(C)C)C=C2)=N1,Train,4.43,5.38
377,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2CCCCC2)C[C@H]1C(F)(F)F,Train,4.26,
378,"C[C@H]1C[C@H](C2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:3|",Train,5.38,4.82
379,O=C(NCC1=CC=CS1)[C@@H]1CN(C(=O)C2=CC=CN=C2)CCN1C1=CC=C(Cl)C(Cl)=C1,Train,4.24,6.91
380,CC1=CC=CC(CN(CC2=CC=CC=N2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,4.62,4.48
