Date,Username,User tag,Content,Mentions,link
"2025-02-07,12:27:29",aurovarat,#0,"Thank you for your response. Also, wondering if the reports submitted in subsequent submission before the deadline will be visible to others. I can most likely add a report to my next submission or attach a report to my intermediate submission at a later date if there was some api call to do that?",cwognum#0,
"2025-02-07,13:15:59",valerij6915,#0,"For the submission, for the contributors section in submit_predictions the handles of the contributors in polaris need to be used, thus each one of the contributors has to be registred in polarishub.io?  and if I would use an organization name for prediction_owner then each of the contributors has to be a member in this organization on the polarishub.io?",,
"2025-02-07,14:28:05",cwognum,#0,Contributors in the Prediction Submission,,
"2025-02-07,16:03:34",bartl88,#0,ebl88,cwognum#0,
"2025-02-07,16:10:51",longhung25,#0,"Hi everyone, I just realized for the ADME task, the train labels may not be in log scale (it is in uM for KSOL if I'm not mistaken). The description says that evaluation will be made on log scale. Is this correct or am I missing something?",,
"2025-02-07,16:19:07",cwognum,#0,"That's correct. We should clarify this as it is confusing people, but to summarize: 

- Labels in the train set are provided in the original assay units
- You should submit your predictions in these same units (so *not* log scale). 

During evaluation, we convert them to the log scale to minimize the impact of outliers. You can find our evaluation script here: https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/blob/main/evaulation.py

We will do some sanity checks on the submitted predictions. If we notice any predictions being in the wrong unit or scale, we will reach out to the respective creator to give them a chance to correct this mistake.",longhung25#0,
"2025-02-08,11:09:20",bartl88,#0,When/Where will the interim leaderbord be visible?,,
"2025-02-08,11:22:57",cwognum,#0,"We will publish it by next Friday at the latest on the Polaris website.

Especially for this first leaderboard, we will go through the results in a bit more detail to see if there are any predictions that are accidentally wrongly processed prior to submission. For example, log transformed while they shouldn’t be or wrongly aligned for the ligand pose challenge.

All teams that submitted can expect an email this weekend confirming their submission!",bartl88#0,
"2025-02-08,18:24:43",cwognum,#0,"We've just sent an email to all people that submitted at least a single set of predictions to the interim leaderboard. If you haven't received an email and expected it, please reach out! Thank you everyone! Excited to dig into these results! 👀 🔥",,
"2025-02-08,19:59:56",itstreasonthen.,#0,I will say thank you and congratulations to everyone that submitted for the intermediate leaderboard. We at ASAP really appreciate your early adoption and early battle testing.,,
"2025-02-08,19:59:59",itstreasonthen.,#0,🙂,,
"2025-02-11,07:25:36",lexobrien.,#0,"Hi folks,  does anyone have any good references on what would be considered optimal ranges for the various admet targets? I have my own ideas but my med chem knowledge is patchy.",,
"2025-02-11,07:33:31",cwognum,#0,"Not sure if it has all the answers, but ASAP shared its Target Candidate Profile (TCP) here: https://docs.google.com/presentation/d/1uZht18ZJnHuwMtwxY4prDBSl4SFMK-ics4ERhDgiJ2s/edit#slide=id.g285bac68500_0_227",lexobrien.#0,
"2025-02-11,08:28:08",lexobrien.,#0,"of course, thanks so much.",cwognum#0,
"2025-02-13,20:40:36",luispintoc,#0,"Hi all, I have some questions regarding the ligand pose challenge. Why are we given two protein sequences? Is the ligand ground truth conformation obtained from interacting with both sequences? I'm new to proteins so I have a hard time picturing it",,
"2025-02-14,10:23:42",jenkescheen.,#0,"hi <@821170864568533033> ! The same ligand will (almost always) have a different potency for two different proteins. At ASAP we are developing drug candidates fthat bind potently to two proteins (SARS-CoV-2 Mpro and MERS-CoV Mpro)  at the same time. For this reason we have measured potencies for both proteins. This means that in the training set, a given compound might have a potency measurement on the one protein or on the other (and in some cases both, but they will appear as different data points IIRC). 

Even though the proteins are very similar, there are some subtle differences (especially in the ligand binding region) that will cause some ligands to bind better to the one than to the other.

If you're interested in learning more about these effects, see e.g. https://pmc.ncbi.nlm.nih.gov/articles/PMC4783878/",luispintoc#0,
"2025-02-14,11:21:55",luispintoc,#0,"Thanks, but with respect to the ligand pose, we are only given 1 conformation, is this conformation given by sequence A or sequence B or somehow by both?",,
"2025-02-14,11:39:47",jenkescheen.,#0,"shoot, I misread your question! Mpro is a biological homodimer, and ligands can bind in both chain A and B. We included both for completeness, especially because the monomer-monomer interphase is quite close to the binding site. Generally though, we ask that you predict poses for chain A (and you're safe to ignore chain B if you're not using it directly in some way)",luispintoc#0,
"2025-02-14,12:35:59",luispintoc,#0,"Clear, thanks!",,
"2025-02-14,14:54:02",cwognum,#0,"🏆  **Interim Leaderboard 1**

Hi everyone, I'm excited to share the results for the first interim leaderboard of the ASAP Discovery challenge. We're still making some minor tweaks to the design of the results page and plan to announce it publicly on Monday.

A big thank you to everyone who participated! We hope this interim leaderboard provides an opportunity for all of you to exchange ideas and iterate. I'm excited about the next leaderboard already!  🚀 

https://antiviral.polarishub.io/",,
"2025-02-14,15:56:13",r_ced,#0,"Interesting. Congrats to the interim winners.

 My potency submission (ranked #4) used NovaML which is a simple consensus model of LGBM, Random Forest, XGBoost and ExtraTrees trained on Morgan binary FP and physchem descriptors. 

https://github.com/novalixofficial/NovaWebApp

Curious to learn more about other participants' strategies.",,
"2025-02-15,11:04:20",bartl88,#0,"Our submission (ebl88) - ranked first for ADME, I believe we did share the short summary by email (not in the initial submission) - is this shared somewhere/will it be?",cwognum#0,
"2025-02-15,11:25:22",cwognum,#0,"Thanks for checking in and congratulations on your first-place ranking for the ADMET challenge!  🚀 

We're working on making all summaries available via the ""Report"" button on the interim results page. Thanks again for sending yours by email. This last week we prioritized helping teams with debugging their submission, which has slightly delayed this.  We'll let you know when they're live. 

In the meantime, feel free to share any details about your submission here! I'm sure people would be curious to know how you approached this problem! 👀",bartl88#0,
"2025-02-15,12:17:25",r_ced,#0,"In Ligand Pose, it looks like the baseline model significantly outperformed the submissions. Is it mainly because the right pockets were not correctly identified? (I am yet to look at the structures myself).",,
"2025-02-16,04:59:15",itstreasonthen.,#0,Congratulations to all who submitted!,,
"2025-02-16,05:07:46",itstreasonthen.,#0,"For the poses, there were two main issues,  

1. Incorrect alignment with the reference. Some people didn't quite get the alignment right which made their results look very bad. We are working on an example to make this easier and clearer. 
2. Poor quality of poses. In our experience, pure blind docking is not likely to get you very close to the complex structure in question. The baseline uses structural information in the training set by selecting the most chemically similar ligands to then seed an common-substructure based openeye docking run. Main point being that the structural information from related ligands is used effectively. 

 Full details on all the baselines can be found on github: https://github.com/asapdiscovery/asap-polaris-challenge-baselines",,
"2025-02-16,05:10:33",itstreasonthen.,#0,On behalf of ASAP I would love to also see people's strategies!,,
"2025-02-16,05:10:44",itstreasonthen.,#0,Please share here if able!,,
"2025-02-16,13:15:02",luispintoc,#0,"Hi, another question, can we use non-commercially available models / software?",,
"2025-02-16,18:11:07",itstreasonthen.,#0,Yes! You can use whatever you like!,,
"2025-02-16,18:40:05",dubbid,#0,"Here's my methods for straightforward baseline, currently 4/17 on ADMET

Using a basic Random Forest Regressor on morgan fingerprints and rdkit descriptors (provided by Descriptastorus):

I trained a model for each of the following datasets:
(TDC) ['Caco2_Wang', 'Lipophilicity_AstraZeneca', 'Solubility_AqSolDB', 'HydrationFreeEnergy_FreeSolv', 'PPBR_AZ', 'Clearance_Hepatocyte_AZ', 'Clearance_Microsome_AZ']
(Other) [""acs_chemrestox_2c00207_si_002_hlm.csv"", ""acs_chemrestox_2c00207_si_002_rlm.csv"", ""AID_1963597_datatable_all.csv"", ""bioinformatics_btab547_Supplementary_Data.csv"", ""logd74.csv"", ""13321_2024_826_MOESM6_ESM-filtered.csv"", ""10822_2022_450_MOESM1_ESM.csv"", ""sol-az.csv"", ""delaney-processed.csv""]

Then I used the predictions of those models along with the same morgan fp and rdkit descriptors to train another randomforest on the competition data.",,
"2025-02-16,18:44:14",itstreasonthen.,#0,"<@250480346695598081> very interesting! Great performance from quite a simple model. Data is key as they say.

Would you be able to share on github by any chance 🙂",dubbid#0,
"2025-02-16,18:47:51",itstreasonthen.,#0,"Also by ""Then I used the predictions of those models"" you mean you used model stacking, ie model as input to another model?",,
"2025-02-16,20:48:36",dubbid,#0,"I’ll share the GitHub when ready, but yeah it’s like almost stacking but I think more like a featurization because the model ‘stacked’ on top isn’t trained on the target dataset",,
"2025-02-16,22:17:39",cwognum,#0,"I really like the direction of training on similar datasets!

I wonder if we would see a significant difference between different techniques to leverage such external datasets. For example, you could also do pretraining-finetuning, some form of metalearning, multi-task learning, etc.",dubbid#0,
"2025-02-17,00:16:34",dubbid,#0,"Probably! part of the reason I'm sharing, hope people can do more and publish more results 🙂",,
"2025-02-17,04:49:24",bartl88,#0,keep in mind that the AZ clearance datasets are a mix of different species; https://www.ebi.ac.uk/chembl/explore/activities/QUERYSTRING:document_chembl_id%3ACHEMBL3301361%20AND%20standard_type%3A%22CL%22?description=Activity%20Types%20for%20Document%20CHEMBL3301361%20%28Experimental%20in%20vitro%20DMPK%20and%20physicochemical%20data%20on%20a%20set%20of%20publicly%20disclosed%20compounds%29%20-%20CL,dubbid#0,
"2025-02-17,04:49:58",bartl88,#0,-e.g. better to curate it from the source (take a look at the assay_id),,
"2025-02-17,04:50:40",bartl88,#0,Is it correct there will be another intermediate leaderbord? before the end of the challenge (22 days),cwognum#0,https://cdn.discordapp.com/attachments/1311539940797972581/1340983751198507008/image.png?ex=680a0970&is=6808b7f0&hm=268bb715212c8a360e35f94935abb6fc4d49d555ad6794b7a13f54fa9f78a68c&
"2025-02-17,05:00:05",salmon_lemon,#0,Will you share your code in the public domain ?,bartl88#0,
"2025-02-17,05:01:46",bartl88,#0,"the summary will be shared first, I guess, code/data will be shared (if approved internally) but maybe at a later point (e.g. needs approval internally)",salmon_lemon#0,
"2025-02-17,12:35:36",jonnyhsu,#0,"Yes, this is correct!",bartl88#0,
"2025-02-17,20:30:16",luispintoc,#0,"About the incorrect alignment, I'm having trouble with it. Given two sdf files (xyz coords and list of atoms), is there a standard way to align?

I was able to reorder their atoms, and bring them to the same center but can't align them further. I tried the Kabsch algorithm and Iterative Closest Point algorithm and still no luck. Can anyone help?",itstreasonthen.#0,
"2025-02-19,05:07:11",itstreasonthen.,#0,"Hi luis, have a peek at the updated version of the poses examples",,
"2025-02-19,05:07:11",itstreasonthen.,#0,https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/blob/main/02.%20Ligand%20Poses%20(Blind%20Docking).ipynb,,
"2025-02-19,05:07:22",itstreasonthen.,#0,In particular the `making it more concrete` section,,
"2025-02-19,14:39:44",cwognum,#0,Provided summaries and Github links should now be available on the leaderboard: https://antiviral.polarishub.io/,,
"2025-02-19,14:41:22",cwognum,#0,"Just to chime in here: 

> Given two sdf files 
You shouldn't change / align the ligand pose (i.e. the SDFs), but rather the full bound protein-ligand structures. Hope the tutorials help!",luispintoc#0,
"2025-02-19,19:21:43",luispintoc,#0,"Thank you for the info. I was confused because we are given this in the train set:
'Chain A Sequence', 'CXSMILES', 'Chain B Sequence', 'Protein Label', <mol object>",,
"2025-02-19,19:23:40",luispintoc,#0,"and in the ""Code example"" when clicking ""Compete"" (https://polarishub.io/competitions/asap-discovery/antiviral-ligand-poses-2025) there is nothing about using:
competition[0], etc to get the other keys ""Complex Structure"", 'Protein Structure'",,
"2025-02-19,19:29:27",cwognum,#0,"That’s good feedback!

“Normally”, we would ask you to submit the full structure and we would do the alignment on our end. That would fix these issues.

However, the Polaris competition infra is still very new and we can’t support this yet.",luispintoc#0,
"2025-02-20,07:27:26",lexobrien.,#0,"Hi folks, 

Question about the sensitivity range of the MLM and HLM measurements.  In the raw data (referencing HLM only in this message) you have clearance rates that appear below the sensitivity limit of the assay - these are marked '<10 (uL/min/mg)'.  These all have half lives marked as '>173min'.  This makes sense, this limit would be set by how long you can wait fo rthe assay to finish: shorter times restrict the length of measurable half life. 

 However, you also have some molecules which have clearance rates below 10 e.g., 0, 2, 3, ... with half lives longer than 173 minutes. The batch dates are almost all earlier for these molecules.  Can I infer that the later batches  had their assay times decreased and so the sensitivity was also decreased?",,
"2025-02-20,07:29:51",lexobrien.,#0,^^ a small snippet of the HLM data to show what I mean.,,https://cdn.discordapp.com/attachments/1311539940797972581/1342110975855427615/Screenshot_2025-02-20_at_12.29.30.png?ex=680a2ebf&is=6808dd3f&hm=dc762828f05474d3e12d8c23433b1707263ab9b8cf3f58d6d9c00c86df578927&
"2025-02-21,03:46:26",jenkescheen.,#0,"Hi Lex! Apologies that this took a while, I just wanted to check in with the ADMET team first. Here's their response:
Our understanding of the data evolved with time. In January 2024 we did a retrospective analysis of % remaining against Clint assuming log linear decay (which we believed was valid) and concluded that  we could not confidently quote Clint values for measurements < 10 so set bounds on all future measurements at that point. We did not edit the previous calculations as we felt the data captured should reflect the analysis as it was made in the project. It would be valid for model building to censor the data where  Clint < 10 to:
Clint<10 µl/min/mg
Kel<0.004 min-1
t1/2>173.3 min",lexobrien.#0,
"2025-02-21,04:18:16",bartl88,#0,"<@1089154123259195486>  - nice catch. So this previous statement is not fully correct for HLM/MLM, if we understand it correctly we should censor all values = 10 to <10. ?  Could you confirm? Any other assays were this is the case ? <@1328384613554585613> <@437941389838516235>",cwognum#0、jenkescheen.#0、lexobrien.#0,
"2025-02-21,11:19:53",cwognum,#0,"Hi! I don't understand the question, sorry. 

Let me try rephrase <@1328384613554585613> his comments in my own words, to see if that helps: Early on, ASAP ran some experiments. Based on those early results, they decided on limits for any subsequent experiments. The confusing part seems to be that the data for the early experiments were included in the competition dataset, but weren't updated retrospectively with those new limits. We're thinking about how to handle this! 

In the meantime, the easiest thing would be to manually filter out these early data points or to treat them as ""<10"".",bartl88#0、jenkescheen.#0,
"2025-02-21,12:37:57",lexobrien.,#0,Thanks <@437941389838516235>  and <@1328384613554585613>  for your response.  I think I understand.,cwognum#0、jenkescheen.#0,
"2025-02-22,05:25:12",bartl88,#0,"No problem, I guess I understand, thanks, i will treat the <10 data for HLM/MLM as <10 in my ML models. Perhaps this could be mentioned/updated on the website as well?",cwognum#0,
"2025-02-22,06:01:49",bartl88,#0,So is the assumption correct that in the competition test set there is no <10 data for HLM and MLM? e.g. are all values above 10?,,
"2025-02-22,16:46:53",vladvin_,#0,"Hey folks!
I just realized that there is this channel for the ASAP competitions, so I may have a duplicated issue that was already covered. Nevertheless, I have just created a GitHub issue regarding ADMET challenge evaluation. Have a look at it please. And if you have any insights, let's talk about them.

https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/issues/12",,
"2025-02-22,19:17:15",cwognum,#0,Indeed!,bartl88#0,
"2025-02-22,19:43:24",cwognum,#0,Good questions! I've taken a first stab at answering them! 😄,vladvin_#0,
"2025-02-24,08:56:44",bartl88,#0,correct that the intermediate submission #2 was postponed? I see now in 6 days?,,
"2025-02-24,10:54:11",jonnyhsu,#0,"The deadline for the next intermediate submission will be on Feb 26th at midnight (whatever your local time). We need to update the website! 

This gives everyone enough time to see they how placed and still have ~1 week before the final submission deadline.",,
"2025-02-24,16:24:53",gpcr,#0,"something a little bit confusing. in the reference PDB structures for alignment `https://fs.polarishub.io/2025-01-asap-discovery/ligand_poses_reference_structures.zip` the MERS and SARS2 mpro structures are overlaid, but in such a way that MERS A chain is overlaid with SARS2 B chain and vice versa. This means that the ""A chain"" pocket of MERS  and the ""A chain"" pocket of SARS2 are not aligned. Will there be symmetry correction in the evaluation? Also, the provided poses which are all to SARS2 mpro include both poses in the A site and in the B site of the provided reference complex",,
"2025-02-24,17:25:39",gpcr,#0,"okay, i think i figured it out. The datapoint provided protein complexes are not perfectly aligned, and they also sometimes have their chain B overlaid on chain A of the reference structure. additinoally, sometimes the ligand SDF has a structure that is bound to side B, in that case the name inside the SDF for the ligand is B.XXX",,
"2025-02-25,14:40:22",yul533,#0,"Hi! I’m a bit confused about the pose prediction challenge. So I need to predict ligand poses in the test set based on the “protein label,” rather than just for MERS-CoV Mpro? The challenge description page specifically mentions predicting poses for MERS-CoV Mpro, so I wanted to confirm the exact requirements. Thanks.",,https://cdn.discordapp.com/attachments/1311539940797972581/1344031255083225088/IMG_0118.png?ex=6809eae6&is=68089966&hm=97f0d6c8ceadc01566c5883b2e141bcbb77dd469a2972c092d0b5261bb4c80c8&
"2025-02-25,16:18:10",itstreasonthen.,#0,"Yes that is slightly out of date, includes SARS and MERS poses, we should fix that.",,
"2025-02-25,16:21:41",cwognum,#0,Updated! Thanks for reporting.,yul533#0,
"2025-02-25,19:38:47",vladvin_,#0,"Hey folks,

One more issue to ADMET challenge came out: https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/issues/14

Again, I forgot to check Discord before bringing it. Hopefully, it something new ))",,
"2025-02-26,05:22:06",itstreasonthen.,#0,"<@440449220059725825> I will try and answer tommorow, sorry for delay",vladvin_#0,
"2025-02-26,14:13:37",vladimirchupakhin_41526,#0,"There are duplicates, weird...",,
"2025-02-27,00:08:43",danial_78835,#0,"Hello, can we upload the prediction results of the potency challenge in a Pandas DataFrame, like:
SARS: 1st column for SMILES, 2nd column for pIC50
MERS: same as above
Or do they need to be in a dictionary with the target name as the key and predictions as the value?
like I have it in CSV.",,https://cdn.discordapp.com/attachments/1311539940797972581/1344536675971366932/image.png?ex=6809c75b&is=680875db&hm=2ee12caf295e0de98cca279674c7487bb248573e2a5adb50670d05328e70c402&
"2025-02-27,04:32:08",itstreasonthen.,#0,It has to be a dict,,
"2025-02-27,04:32:17",itstreasonthen.,#0,like in the example,,
"2025-02-27,04:36:12",itstreasonthen.,#0,"<@440449220059725825> we are working on cleaning this up on the eval side, have updates to participants ASAP",vladvin_#0,
"2025-02-27,12:30:39",cwognum,#0,"Hi everyone, heads-up that the deadline for the second interim leaderboard passed a few hours ago. We are in the process of evaluating all submissions we received so far. Don't hesitate to reach out if you have any questions!",,
"2025-02-27,22:50:21",danial_78835,#0,"Thank you, Professor. I noticed that in the example y_pred, there are 297 values total. However, after removing duplicates, the count drops to around 267. We performed the calculations using the 267 values.

Storing the results in a dictionary array could lead to a mismatch when comparing the yours (reference values) with our predicted values, potentially affecting the results. How should we handle the duplicates? Should we write NaN for the duplicate entries, or should we recalculate the pIC50 values according to the 297 dataset?",itstreasonthen.#0,
"2025-02-28,02:47:12",bartl88,#0,when do you expect the new interim leaderbord to be online?,cwognum#0,
"2025-02-28,09:55:00",jonnyhsu,#0,Very soon! Stay tuned 👀,,
"2025-02-28,15:29:08",cwognum,#0,"@everyone Excited to share the results for the second interim leaderboard! Congratulations to everyone who submitted and thank you for your interesting questions, careful analyses, and insightful comments! 🏆 ❤️ 

Detailed results: https://antiviral.polarishub.io/

As a reminder, the final submissions deadline is **March 10th at midnight, anywhere on earth**. 

We have been lenient for the interim leaderboards, but as a reminder:
- 📚 To be eligible for the final and official leaderboard, you are _required_ to share a short (~1 page) report about your method for the final submission.
- 🧑‍💻 Although this is _optional_, please consider sharing a reference to your code as well.

You specify both in the `submit_predictions()` method: 
```py
competiton.submit_predictions(report_url=..., github_url=...)
```
 
Good luck to all teams with the last sprint! 🚀",,https://cdn.discordapp.com/attachments/1311539940797972581/1345130691381301332/the_antiviral_leaderboard_square_2__1_.png?ex=6809f654&is=6808a4d4&hm=f3bb73f8c2e6b690efd8191e24f96409148500c17dcaa052736e6b1556de700c&
"2025-02-28,15:56:50",vladvin_,#0,"Hi Hugo!
To make sure, are you working on the issue I posted recently?
https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/issues/14",itstreasonthen.#0,
"2025-02-28,16:44:08",r_ced,#0,"Thanks for the update.

My ligand pose submission (ranked #3) used traditional docking (no ML).

My potency  (ranked #4) and admet (ranked #7) entries both used boosted trees and ECFP4 + physchem + extra features trained on external dataset, all without hyperparameter tuning. 

 I tested learned embeddings ( ChemBERTa, MolFormer etc) but didn't improve performance. 

Curious to hear about other strategies.",cwognum#0,
"2025-02-28,17:18:52",itstreasonthen.,#0,"Yes sorry, been trying to sort out the eval",vladvin_#0,
"2025-02-28,18:27:19",vladvin_,#0,Great. Looking forward to your updates! And let's discuss whatever questions along the way,itstreasonthen.#0,
"2025-02-28,19:48:08",itstreasonthen.,#0,"I am going to leave a big reminder here in case people missed it 

**To be eligible for the final and official leaderboard, you are required to share a short (~1 page) report about your method for the final submission.**",,
"2025-02-28,20:00:31",itstreasonthen.,#0,I replied sorry for the delay,vladvin_#0,
"2025-02-28,20:00:38",itstreasonthen.,#0,Happy to discuss further!,,
"2025-02-28,20:42:21",vladvin_,#0,"Thanks for the reply, <@377331431246004225>, I replied in turn!",itstreasonthen.#0,
"2025-03-01,02:21:19",r_ced,#0,"I agree with <@440449220059725825> that a normalized MAE is more robust. It would be interesting to have it on the leaderboard to see how sensitive is the primary MAE metric to scale differences. 

Indeed the rankings could shuffle based on the chosen metric. This is what I observed in many ML publications where authors choose the metric that would make their proposed model be written in bold.",vladvin_#0,
"2025-03-01,04:06:38",bartl88,#0,"Thanks, a bit sad we were passed in the leaderbord 😉 - but curious to see what was done by others ! what do these letters stand for? The compact letter display?",,https://cdn.discordapp.com/attachments/1311539940797972581/1345321324838522904/image.png?ex=6809ff1e&is=6808ad9e&hm=d81c6057359e231e51057e1c0d8fd19fbeb5deb589c8a63c193a2f60c9de98b7&
"2025-03-01,05:21:33",r_ced,#0,"I'm also curious to see the code for the cld attribution. In my understanding, they did bootstrapping to check whether model #1 is statistically better than model #2.",,
"2025-03-01,08:03:43",gpcr,#0,"Nice, congrats to everyone involved. I submitted some very simple benchmark models to all 3 challenges, under the name ""wim0"". The admet and potency ones underperformed (they were based on ECFP6_count thresholded nearest neighbor) but the pose prediction one did quite well (4th place). The benchmark model there is purely ligand-based (!), and relies on MCS, constrained embedding and calculation of spatial overlap",,
"2025-03-01,10:02:27",r_ced,#0,"Thanks for sharing <@562621019454701568>, quite impressive for a purely ligand based approach. Did you simply select the conformation with the maximum spatial overlap or you have a special scoring function ?",gpcr#0,
"2025-03-01,10:26:45",gpcr,#0,"i'll make the code public after the end of the challenge, but for 3d alignment  scoring simply used the color tanimoto from rdkit >2024.09 `rdShapeAlign.AlignMol` (i do not use the resulting coords for any translation or rotation because the input already has absolute coordinates close to the template)",,
"2025-03-01,10:36:21",cwognum,#0,Love this! Such baselines serve as an important reality check to contextualize results.,gpcr#0,
"2025-03-01,10:49:24",cwognum,#0,"Compact Letter Display is a way to display the results of pairwise comparisons using statistical tests. If two methods share a letter, than you can't conclude that one method is statistically significantly better than the other.

For the technical details: We use Bootstrapping (`n=1000`) to sample the performance distribution. We then compare all performance distributions using the Tukey HSD test (implemented in `statsmodels` as `pairwise_tukeyhsd`). For the CLD, I couldn't find a robust implementation in Python (only R), so this was implemented from scratch. Assigning the letters is actually a NP-hard problem. I used the insert-absorb approximation. I just uploaded my code in case you're interested: https://github.com/asapdiscovery/asap-polaris-blind-challenge-examples/blob/main/cld.py

Then a note on Bootstrapping: We acknowledge that bootstrapping likely underestimates variance. Ideally, we would use Cross-Validation, but this is not compatible with the challenge format and we are not aware of any other better sampling techniques.

If you're curious to learn more about these topics, see: 
- https://doi.org/10.26434/chemrxiv-2024-6dbwv-v2
- https://doi.org/10.1198/1061860043515
- https://doi.org/10.1016/j.csda.2006.09.035",bartl88#0,
"2025-03-01,10:55:02",cwognum,#0,"This is an interesting point!

Early on, we briefly considered using MPO rankings, which I believe to be the most principled way of addressing this issue (see e.g. `skcriteria` at https://scikit-criteria.quatrope.org/en/latest/) . This seemed too unconventional and we were worried it would be confusing rather than helpful.

I agree that it's too late to make the change now, but for the forthcoming publication about this challenge it would be interesting to compare the stability of these results using different evaluation protocols! We're interested in hosting more challenges and this would help us improve the next one! 👀",vladvin_#0,
"2025-03-01,13:44:24",manjari.narayan,#0,"There is a good literature on smoothing ranks to deal with discreteness, ties and other challenges with ranking comparisons. Smoothing before bootstrapping is essential. 

Will follow-up on Monday.",cwognum#0,
"2025-03-02,04:53:48",bartl88,#0,"great thx for the explanation! Te letters, correspond to the rankings? (e.g. a =1)",cwognum#0,
"2025-03-02,10:23:08",cwognum,#0,"The letters are assigned based on the mean performance, so `a` performed best. 

Note that it’s the rank of the group, not per se of the individual methods. It gets a little fuzzy! For example: imagine you have:
- Method X with “a”
- Method Y with “ab”
- Method Z with “b”

Y performs statistically similar to X and Z, but X and Z do not perform statistically similar to each other.",bartl88#0,
"2025-03-03,03:14:28",danial_78835,#0,Could someone please clarify this for me?,,https://cdn.discordapp.com/attachments/1311539940797972581/1346032971710464071/ea3a24d1239b80b9f764006bafbf9e2.png?ex=6809f2e4&is=6808a164&hm=a62894e59af6f256d41ad3700f1b3dc123d4164b6753fb6ea9c9c832e81ae6b2&
"2025-03-03,03:18:01",danial_78835,#0,"There are two predictions for potency. One is based on machine learning, which was submitted from our account siat353 for the whole dataset (297). Now, there are predictions for 267 based on MD simulation. How to deal with duplicates?",,
"2025-03-03,07:10:44",cwognum,#0,"Hey <@1337612892710633513> , since the evaluation is mostly done automatically, it’s important to stick to the precise format that is prescribed. This means you need to provide a prediction for each input in the test set in the expected order.  This also applies for duplicates.

Throughout the challenge, some issues were identified with the test set, but we’ll handle these on our side by filtering out certain test datapoints prior to evaluation.",danial_78835#0,
"2025-03-03,07:13:49",cwognum,#0,Sorry for the delay in getting back to you!,,
"2025-03-03,14:14:12",oliversun6788,#0,"Hey all I just discover this discord channel! Have some questions for <@329096597357068301> and <@562621019454701568> and maybe <@377331431246004225> . I'm currently ranked #5 on the ligand pose challenge (kysun) and I'm using a combination of fragment MCS approach + cross docking + EM + filter based on interaction. Originally I assumed that adding in this energy minimization + filtering part might boost up the results, but since you all also did approaches without a lot of ML, I want to ask to see if your methods involve some level of energy minimization to help me get a new sense of what's going wrong for my method. I would hope to boost up my scores a little bit more but have been struggling doing so.",gpcr#0、itstreasonthen.#0、r_ced#0,
"2025-03-03,14:32:10",gpcr,#0,no energy minimization on my side. my conformers are unaltered etkdg ones. ime energy minimization in pose prediction can be a trap and sometimes lead to worse outcomes. docking scoring functions are specifically designed to retrieve poses (with moderate success) whereas energy minimization will just give you some sort of snapshot local minimum,,
"2025-03-03,15:02:31",r_ced,#0,"Hi <@586317805515833384>, my workflow didn't involve energy minimization of the docked poses.",oliversun6788#0,
"2025-03-03,15:03:31",r_ced,#0,Did you minimize both the protein and the ligand ?,,
"2025-03-03,15:03:40",oliversun6788,#0,Awesome! Thank you all for chiming in. I will take a subset of the training data to do some ablation study then,,
"2025-03-03,15:05:04",oliversun6788,#0,"Yes, I kind of did an unconstrained EM for both protein and ligand just to see where it takes me... My immediate next step plan is to maybe do a constrained EM on protein backbone and fragment MCS, but I observe that there are some cases where the ligand torsion constraint are just too high to be relaxed into a physically meaningful conformation, which is why I did the unconstrained EM at first",,
"2025-03-03,15:09:40",r_ced,#0,Did you rank your poses based on strain energies relative to vacuum minimum energy conformation?,,
"2025-03-03,15:19:10",r_ced,#0,"Anyway, I'm curious to know the range of RMSDs of your relaxed pose vs the docked pose.",,
"2025-03-03,16:11:46",oliversun6788,#0,I can benchmark on that! I rank my pose based on the binding free energy using amber ff and implicit solvent. (total potential energy - protein pe - ligand pe),,
"2025-03-05,09:36:14",azminetoushikwasi,#0,"<@&1181365889350774794> <@437941389838516235>  Is it possible to extend the deadline to March 15th maybe? Due to the ICCV deadline, I am struggling to manage compute in my academic servers.",cwognum#0,
"2025-03-06,07:52:28",wiwnopgm,#0,I would like to make the same request. It is a bit busy to run all my pipelines for the challenge,azminetoushikwasi#0,
"2025-03-06,12:23:01",cwognum,#0,I’ll bring it up with the organizers!,azminetoushikwasi#0,
"2025-03-06,13:22:34",jenkescheen.,#0,@everyone based on a few requests we are extending the deadline of this challenge to March 14th at noon (12:00) ET! Looking forward to seeing how everyone did!,,
"2025-03-06,18:24:17",itstreasonthen.,#0,"Once more for people that might have missed it:

**To be eligible for the final and official leaderboard, you are required to share a short (~1 page) report about your method for the final submission.** If you can share code as well that would be great.",,
"2025-03-07,20:13:10",life_is_sad,#0,"Has anyone been recieving this error today?
```AttributeError: module 'sqlalchemy' has no attribute '__all__'```",,
